id,type,speaker_or_blank,text,translation_or_blank
HFA2V061,word,,rapide,rápido
HFA2V062,word,,le moyen,el medio
HFA2V063,word,,pratique,práctico
HFA2V064,word,,l’itinéraire,la ruta
HFA2V065,word,,à pied,a pie
HFA2121,phrase,Jérôme,Je suis parti vendredi matin en train.,Salí el viernes por la mañana en tren.
HFA2122,phrase,Jérôme,"Quand je suis arrivé, ma chambre n’était pas encore prête.","Cuando llegué, mi habitación todavía no estaba lista."
HFA2123,phrase,Jérôme,J’ai laissé ma valise à l’hôtel et j’ai visité le centre.,Dejé mi maleta en el hotel y visité el centro.
HFA2124,phrase,Jérôme,Le quartier historique était plus beau que je ne l’imaginais.,El barrio histórico era más bonito de lo que imaginaba.
HFA2125,phrase,Jérôme,J’ai aussi suivi une visite qui expliquait l’histoire de la ville.,También seguí una visita que explicaba la historia de la ciudad.
HFA2126,phrase,Jérôme,"C’était un voyage court, mais très réussi.","Fue un viaje corto, pero muy exitoso."
HFA2V066,word,,laisser,dejar
HFA2V067,word,,imaginer,imaginar
HFA2V068,word,,suivre,seguir
HFA2V069,word,,expliquer,explicar
HFA2V070,word,,réussi,exitoso
HFA2V071,word,,court,corto
HFA2131,phrase,Camille,Tu vois souvent tes parents ?,¿Ves seguido a tus padres?
HFA2132,phrase,Jérôme,Je leur téléphone chaque semaine.,Les llamo cada semana.
HFA2133,phrase,Camille,Tu t’entends bien avec ta sœur ?,¿Te llevas bien con tu hermana?
HFA2134,phrase,Jérôme,"Oui, on se ressemble beaucoup.","Sí, nos parecemos mucho."
HFA2135,phrase,Camille,Elle travaille aussi dans le domaine artistique ?,¿También trabaja en el área artística?
HFA2136,phrase,Jérôme,"Non, elle étudie la biologie.","No, estudia biología."
HFA2V072,word,,les parents,los padres
HFA2V073,word,,téléphoner,llamar por teléfono
HFA2V074,word,,chaque semaine,cada semana
HFA2V075,word,,s’entendre bien,llevarse bien
HFA2V076,word,,se ressembler,parecerse
HFA2V077,word,,la biologie,la biología
HFA2141,phrase,Camille,Tu as parlé à ta sœur hier ?,¿Hablaste con tu hermana ayer?
HFA2142,phrase,Jérôme,"Non, mais je lui ai envoyé un message.","No, pero le envié un mensaje."
HFA2143,phrase,Camille,Et à tes parents ?,¿Y a tus padres?
HFA2144,phrase,Jérôme,Je leur ai envoyé des photos de Strasbourg.,Les envié fotos de Estrasburgo.
HFA2145,phrase,Camille,Ils t’ont répondu ?,¿Te respondieron?
HFA2146,phrase,Jérôme,"Oui, ils m’ont dit que la ville était très belle.","Sí, me dijeron que la ciudad era muy bonita."
HFA2V078,word,,envoyer,enviar
HFA2V079,word,,un message,un mensaje
HFA2V080,word,,répondre,responder
HFA2V081,word,,dire,decir
HFA2V082,word,,une photo,una foto
HFA2V083,word,,garder le contact,mantener el contacto
HFA2151,phrase,Camille,Qu’est-ce que vous faisiez en famille le dimanche ?,¿Qué hacían en familia los domingos?
HFA2152,phrase,Jérôme,On avait l’habitude de déjeuner chez ma grand-mère.,Teníamos la costumbre de comer en casa de mi abuela.
HFA2153,phrase,Camille,Toute la famille venait ?,¿Iba toda la familia?
HFA2154,phrase,Jérôme,"Oui, mes oncles et mes cousins venaient aussi.","Sí, también iban mis tíos y primos."
HFA2155,phrase,Camille,Vous restiez longtemps ?,¿Se quedaban mucho tiempo?
HFA2156,phrase,Jérôme,"Souvent, on restait jusqu’au soir.",A menudo nos quedábamos hasta la noche.
HFA2V084,word,,avoir l’habitude de,tener la costumbre de
HFA2V085,word,,déjeuner,comer al mediodía
HFA2V086,word,,la grand-mère,la abuela
HFA2V087,word,,un oncle,un tío
HFA2V088,word,,un cousin,un primo
HFA2V089,word,,rester,quedarse
HFA2161,phrase,Julien,Pourquoi tu aimes autant la photographie ?,¿Por qué te gusta tanto la fotografía?
HFA2162,phrase,Jérôme,Parce que ça me permet de raconter une histoire.,Porque me permite contar una historia.
HFA2163,phrase,Julien,Tu préfères les portraits ou les paysages ?,¿Prefieres los retratos o los paisajes?
HFA2164,phrase,Jérôme,"Je préfère les portraits, car je les trouve plus expressifs.",Prefiero los retratos porque me parecen más expresivos.
HFA2165,phrase,Julien,Tu publies parfois tes photos ?,¿A veces publicas tus fotos?
HFA2166,phrase,Jérôme,"Oui, mais seulement quand je suis satisfait du résultat.","Sí, pero solo cuando estoy satisfecho con el resultado."
HFA2V090,word,,passionner,apasionar
HFA2V091,word,,permettre,permitir
HFA2V092,word,,un portrait,un retrato
HFA2V093,word,,un paysage,un paisaje
HFA2V094,word,,expressif,expresivo
HFA2V095,word,,le résultat,el resultado
HFA2171,phrase,Camille,Tu devrais participer au concours de photographie.,Deberías participar en el concurso de fotografía.
HFA2172,phrase,Jérôme,Je ne suis pas sûr d’avoir le niveau.,No estoy seguro de tener el nivel.
HFA2173,phrase,Camille,Tu pourrais envoyer trois de tes meilleures photos.,Podrías enviar tres de tus mejores fotos.
HFA2174,phrase,Jérôme,Tu crois que ça vaut la peine ?,¿Crees que vale la pena?
HFA2175,phrase,Camille,Oui. Il vaut mieux essayer que regretter.,Sí. Es mejor intentar que arrepentirse.
HFA2176,phrase,Jérôme,"D’accord, je vais préparer mon dossier.","De acuerdo, voy a preparar mi expediente."
HFA2V096,word,,participer,participar
HFA2V097,word,,un concours,un concurso
HFA2V098,word,,le niveau,el nivel
HFA2V099,word,,valoir la peine,valer la pena
HFA2V100,word,,regretter,arrepentirse
HFA2V101,word,,un dossier,un expediente
HFA2181,phrase,Jérôme,"Quand j’étais enfant, je dessinais presque tous les jours.","Cuando era niño, dibujaba casi todos los días."
HFA2182,phrase,Jérôme,"Plus tard, mon père m’a prêté son appareil photo.","Más tarde, mi padre me prestó su cámara."
HFA2183,phrase,Jérôme,Cette expérience m’a donné envie d’étudier le design.,Esa experiencia me dio ganas de estudiar diseño.
HFA2184,phrase,Jérôme,"Aujourd’hui, la photographie me passionne toujours.",Hoy la fotografía todavía me apasiona.
HFA2185,phrase,Jérôme,Camille m’a conseillé de participer à un concours.,Camille me aconsejó participar en un concurso.
HFA2186,phrase,Jérôme,Je vais donc préparer une petite série de portraits.,Así que voy a preparar una pequeña serie de retratos.
HFA2V102,word,,plus tard,más tarde
HFA2V103,word,,prêter,prestar
HFA2V104,word,,donner envie de,dar ganas de
HFA2V105,word,,toujours,todavía / siempre
HFA2V106,word,,conseiller,aconsejar
HFA2V107,word,,une série,una serie
HFA2191,phrase,Julien,Qu’est-ce que tu fais exactement à la librairie ?,¿Qué haces exactamente en la librería?
HFA2192,phrase,Jérôme,Je conseille les clients et je range les livres.,Aconsejo a los clientes y acomodo los libros.
HFA2193,phrase,Julien,Tu dois aussi travailler à la caisse ?,¿También tienes que trabajar en caja?
HFA2194,phrase,Jérôme,"Oui, et il faut vérifier les commandes.","Sí, y hay que revisar los pedidos."
HFA2195,phrase,Julien,Tu aimes ce travail ?,¿Te gusta ese trabajo?
HFA2196,phrase,Jérôme,"Oui, surtout quand je peux recommander un bon livre.","Sí, sobre todo cuando puedo recomendar un buen libro."
HFA2V108,word,,un client,un cliente
HFA2V109,word,,ranger,acomodar
HFA2V110,word,,la caisse,la caja
HFA2V111,word,,une commande,un pedido
HFA2V112,word,,vérifier,revisar
HFA2V113,word,,recommander,recomendar
HFA2201,phrase,Camille,Pourquoi tu es rentré si tard hier ?,¿Por qué regresaste tan tarde ayer?
HFA2202,phrase,Jérôme,J’ai fait une erreur dans une commande.,Cometí un error en un pedido.
HFA2203,phrase,Camille,Qu’est-ce qui s’est passé ?,¿Qué pasó?
HFA2204,phrase,Jérôme,"J’ai noté le mauvais numéro, donc le livre n’est pas arrivé.","Anoté el número equivocado, así que el libro no llegó."
HFA2205,phrase,Camille,Tu as pu résoudre le problème ?,¿Pudiste resolver el problema?
HFA2206,phrase,Jérôme,"Oui, j’ai appelé le fournisseur et j’ai corrigé la commande.","Sí, llamé al proveedor y corregí el pedido."
HFA2V114,word,,une erreur,un error
HFA2V115,word,,le mauvais numéro,el número equivocado
HFA2V116,word,,résoudre,resolver
HFA2V117,word,,un fournisseur,un proveedor
HFA2V118,word,,corriger,corregir
HFA2211,phrase,Camille,Tu n’as pas l’air en forme.,No pareces estar bien.
HFA2212,phrase,Jérôme,J’ai mal au dos depuis ce matin.,Me duele la espalda desde esta mañana.
HFA2213,phrase,Camille,Ça fait longtemps que tu as mal ?,¿Desde hace mucho te duele?
HFA2214,phrase,Jérôme,"Non, mais je me sens aussi très fatigué.","No, pero también me siento muy cansado."
HFA2215,phrase,Camille,Tu as de la fièvre ?,¿Tienes fiebre?
HFA2216,phrase,Jérôme,"Je ne crois pas, mais j’ai un peu mal à la gorge.","No creo, pero me duele un poco la garganta."
HFA2V119,word,,le dos,la espalda
HFA2V120,word,,se sentir,sentirse
HFA2V121,word,,la fièvre,la fiebre
HFA2V122,word,,la gorge,la garganta
HFA2V123,word,,avoir l’air,parecer
HFA2221,phrase,Médecin,Depuis quand avez-vous mal à la gorge ?,¿Desde cuándo le duele la garganta?
HFA2222,phrase,Jérôme,Depuis hier soir.,Desde anoche.
HFA2223,phrase,Médecin,Vous toussez beaucoup ?,¿Tose mucho?
HFA2224,phrase,Jérôme,"Un peu, surtout la nuit.","Un poco, sobre todo por la noche."
HFA2225,phrase,Médecin,Vous devez vous reposer et boire beaucoup d’eau.,Debe descansar y beber mucha agua.
HFA2226,phrase,Jérôme,Est-ce que je peux travailler demain ?,¿Puedo trabajar mañana?
HFA2V124,word,,le médecin,el médico
HFA2V125,word,,tousser,toser
HFA2V126,word,,la nuit,la noche
HFA2V127,word,,se reposer,descansar
HFA2V128,word,,boire,beber
HFA2V129,word,,demain,mañana
HFA2231,phrase,Médecin,Il faut éviter les efforts pendant deux jours.,Hay que evitar esfuerzos durante dos días.
HFA2232,phrase,Médecin,Ne portez pas de choses lourdes.,No cargue cosas pesadas.
HFA2233,phrase,Jérôme,Je peux faire un peu de vélo ?,¿Puedo andar un poco en bicicleta?
HFA2234,phrase,Médecin,"Non, il vaut mieux attendre.","No, es mejor esperar."
HFA2235,phrase,Jérôme,Et pour le travail ?,¿Y para el trabajo?
HFA2236,phrase,Médecin,"Si vous êtes encore fatigué, restez chez vous.","Si todavía está cansado, quédese en casa."
HFA2V130,word,,éviter,evitar
HFA2V131,word,,un effort,un esfuerzo
HFA2V132,word,,lourd,pesado
HFA2V133,word,,attendre,esperar
HFA2V134,word,,encore,todavía
HFA2V135,word,,rester chez soi,quedarse en casa
HFA2241,phrase,Jérôme,"Le mois dernier, je suis allé à Strasbourg avec des amis.",El mes pasado fui a Estrasburgo con unos amigos.
HFA2242,phrase,Jérôme,"Il faisait froid, mais la ville était magnifique.","Hacía frío, pero la ciudad era magnífica."
HFA2243,phrase,Jérôme,Nous avons visité un quartier qui date du dix-huitième siècle.,Visitamos un barrio que data del siglo XVIII.
HFA2244,phrase,Jérôme,"Après le voyage, j’ai beaucoup travaillé à la librairie.","Después del viaje, trabajé mucho en la librería."
HFA2245,phrase,Jérôme,Je me suis senti fatigué et j’ai dû consulter un médecin.,Me sentí cansado y tuve que consultar a un médico.
HFA2246,phrase,Jérôme,"Maintenant, je vais mieux et je fais plus attention à ma santé.",Ahora estoy mejor y cuido más mi salud.
HFA2V136,word,,le mois dernier,el mes pasado
HFA2V137,word,,magnifique,magnífico
HFA2V138,word,,consulter,consultar
HFA2V139,word,,devoir,tener que
HFA2V140,word,,faire attention à,prestar atención a
HFA2V141,word,,la santé,la salud
