id,type,speaker_or_blank,text,translation_or_blank
P187,word,,열쇠,llave
P188,word,,비싸다,ser caro
4013,phrase,Hana,"사울 씨, 그 옷은 너무 눈에 띄어요.","Saul, esa ropa llama demasiado la atención."
4014,phrase,Saul,그럼 새 옷을 사야 해요?,"Entonces, ¿tengo que comprar ropa nueva?"
4015,phrase,Comerciante,어서 오세요. 어떤 옷을 찾으세요?,Bienvenido. ¿Qué tipo de ropa busca?
4016,phrase,Saul,도시에서 입기 편한 옷이 필요해요.,Necesito ropa cómoda para usar en la ciudad.
4017,phrase,Comerciante,이 옷은 싸고 튼튼해요. 신발도 같이 보실래요?,Esta ropa es barata y resistente. ¿Quiere ver también zapatos?
4018,phrase,Saul,네. 그런데 먼저 입어 봐도 돼요?,"Sí. Pero primero, ¿puedo probármela?"
P189,word,,옷,ropa
P190,word,,입다,ponerse ropa
P191,word,,싸다,ser barato
P192,word,,튼튼하다,ser resistente
P193,word,,신발,zapatos
4019,phrase,Saul,잠깐만요. 여기가 어디예요?,Un momento. ¿Dónde estamos?
4020,phrase,Joon,지도에는 우리가 시장 근처에 있다고 되어 있어요.,En el mapa dice que estamos cerca del mercado.
4021,phrase,Hana,하지만 이 길은 지도에 없어요.,Pero esta calle no está en el mapa.
4022,phrase,Saul,저 사람한테 물어볼까요?,¿Le preguntamos a esa persona?
4023,phrase,Aru,좋아요. 하지만 천천히 말해 달라고 하세요.,Bien. Pero pídele que hable despacio.
4024,phrase,Saul,실례합니다. 이 길이 도서관으로 가는 길이에요?,Disculpe. ¿Esta calle va hacia la biblioteca?
P194,word,,도서관,biblioteca
P195,word,,실례합니다,disculpe
P196,word,,달라고 하다,pedir que den/hagan algo
4025,phrase,Encargado,도서관에서는 조용히 해야 해요.,En la biblioteca hay que estar en silencio.
4026,phrase,Saul,네. 저는 한국어를 더 공부하고 싶어요.,Sí. Quiero estudiar más coreano.
4027,phrase,Encargado,그럼 이 책을 읽어 보세요. 쉬운 글로 쓰여 있어요.,Entonces intente leer este libro. Está escrito con texto fácil.
4028,phrase,Aru,"사울 씨, 모르는 단어는 여기에 적으면 돼요.","Saul, las palabras que no sepas puedes escribirlas aquí."
4029,phrase,Saul,읽고 쓰면 더 잘 기억할 수 있을 것 같아요.,"Si leo y escribo, creo que podré recordarlas mejor."
4030,phrase,Encargado,맞아요. 배우고 가르치는 일은 모두 기록에서 시작돼요.,Correcto. Aprender y enseñar empieza con los registros.
P197,word,,조용히,en silencio
P198,word,,공부하다,estudiar
P199,word,,쓰다,escribir / usar
P200,word,,단어,palabra
P201,word,,적다,anotar
P202,word,,기억하다,recordar
P203,word,,가르치다,enseñar
P204,word,,기록,registro
4031,phrase,Comerciante,혹시 오늘 잠깐 일할 수 있어요?,¿Por casualidad puedes trabajar un rato hoy?
4032,phrase,Saul,무슨 일을 해야 해요?,¿Qué trabajo tengo que hacer?
4033,phrase,Comerciante,이 상자들을 가게 안으로 옮기면 돼요.,Solo tienes que mover estas cajas dentro de la tienda.
4034,phrase,Joon,일이 끝나면 돈을 받을 수 있나요?,"Cuando termine el trabajo, ¿puede recibir dinero?"
4035,phrase,Comerciante,물론이죠. 시작하기 전에 가격을 정해요.,"Claro. Antes de empezar, fijemos el precio."
4036,phrase,Saul,좋아요. 설명을 듣고 나서 시작할게요.,Bien. Escucharé la explicación y después empezaré.
P205,word,,일하다,trabajar
P206,word,,가게,tienda
P207,word,,옮기다,mover / trasladar
P208,word,,끝나다,terminar
P209,word,,돈,dinero
P210,word,,받다,recibir
P211,word,,듣다,escuchar
4037,phrase,Aru,상자를 열려면 작은 금속 조각이 필요해요.,Para abrir la caja necesitamos una pequeña pieza de metal.
4038,phrase,Saul,열쇠 같은 거예요?,¿Es algo como una llave?
4039,phrase,Hana,비슷하지만 조금 달라요. 직접 골라야 해요.,"Es parecido, pero un poco diferente. Hay que escogerla directamente."
4040,phrase,Comerciante,이건 오래된 물건이에요. 싸지는 않아요.,Esto es un objeto antiguo. No es barato.
4041,phrase,Saul,다른 것보다 이게 더 맞는 것 같아요.,Creo que este encaja mejor que los otros.
4042,phrase,Aru,저도 그렇게 생각해요. 그걸로 고르죠.,Yo también pienso eso. Escojamos ese.
P212,word,,열다,abrir
P213,word,,금속,metal
P214,word,,조각,pieza
P215,word,,비슷하다,ser parecido
P216,word,,다르다,ser diferente
P217,word,,직접,directamente
P218,word,,고르다,escoger
4043,phrase,Desconocido,그 상자는 어디에서 났어요?,¿De dónde salió esa caja?
4044,phrase,Saul,왜요? 이 상자를 아세요?,¿Por qué? ¿Conoce esta caja?
4045,phrase,Desconocido,아니요. 그냥 오래된 물건 같아서요.,No. Solo porque parece un objeto antiguo.
4046,phrase,Aru,"사울 씨, 대답하지 마세요.","Saul, no respondas."
4047,phrase,Desconocido,걱정하지 마세요. 저는 위험한 사람이 아니에요.,No se preocupen. No soy una persona peligrosa.
4048,phrase,Saul,잘 모르겠어요. 지금은 가야 할 것 같아요.,No estoy muy seguro. Creo que ahora debemos irnos.
P219,word,,낯선 사람,desconocido
P220,word,,나다,salir / originarse
P221,word,,대답하다,responder
P222,word,,걱정하다,preocuparse
4049,phrase,Hana,이 문은 안 열려요.,Esta puerta no se abre.
4050,phrase,Joon,그럼 열쇠를 사용해 봐요.,Entonces intentemos usar la llave.
4051,phrase,Saul,잠깐만요. 창문은 열려 있어요.,Un momento. La ventana está abierta.
4052,phrase,Aru,조심하세요. 안에서 이상한 빛이 보여요.,Ten cuidado. Desde dentro se ve una luz extraña.
4053,phrase,Saul,문을 열고 나서 바로 닫을 수 있어요?,"Después de abrir la puerta, ¿podemos cerrarla enseguida?"
4054,phrase,Joon,네. 위험하면 바로 닫을게요.,"Sí. Si es peligroso, la cerraré enseguida."
P223,word,,사용하다,usar
P224,word,,창문,ventana
P225,word,,빛,luz
P226,word,,닫다,cerrar
4055,phrase,Saul,여기 냄새가 이상하게 익숙해요.,El olor de aquí se siente extrañamente familiar.
4056,phrase,Aru,전에 이런 곳에 와 본 적이 있어요?,¿Has venido antes a un lugar como este?
4057,phrase,Saul,기억이 잘 안 나요. 뭔가 잊어버린 것 같아요.,No lo recuerdo bien. Siento que olvidé algo.
4058,phrase,Hana,천천히 생각해 보세요. 억지로 기억하려고 하지 마세요.,Intenta pensarlo despacio. No trates de recordarlo a la fuerza.
4059,phrase,Saul,무서운 건 아니에요. 그냥 마음이 아파요.,No es que me dé miedo. Solo me duele el corazón.
4060,phrase,Aru,괜찮아요. 기억은 천천히 돌아올 수도 있어요.,Está bien. Los recuerdos también pueden volver poco a poco.
P227,word,,냄새,olor
P228,word,,익숙하다,ser familiar
P229,word,,잊어버리다,olvidar completamente
P230,word,,억지로,a la fuerza
P231,word,,돌아오다,volver
4061,phrase,Hana,오늘 밤에는 도시 축제가 있어요.,Esta noche hay un festival en la ciudad.
4062,phrase,Saul,축제요? 저는 이런 분위기를 좋아해요.,¿Festival? Me gusta este tipo de ambiente.
4063,phrase,Joon,음악을 듣고 싶으면 저쪽으로 가요.,"Si quieres escuchar música, vamos hacia allá."
4064,phrase,Aru,먹을 것도 많아요. 싫어하는 음식이 있어요?,También hay mucha comida. ¿Hay comida que no te guste?
4065,phrase,Saul,아직 잘 몰라요. 새로운 음식을 먹어 보고 싶어요.,Todavía no lo sé bien. Quiero probar comida nueva.
4066,phrase,Hana,좋아요. 그럼 같이 골라 봐요.,Bien. Entonces escojámosla juntos.
P232,word,,축제,festival
P233,word,,분위기,ambiente
P234,word,,좋아하다,gustar
P235,word,,싫어하다,no gustar
4067,phrase,Aru,이제 상자를 열 수 있을 것 같아요.,Creo que ahora podremos abrir la caja.
4068,phrase,Saul,진짜요? 그럼 열어 봐요.,¿De verdad? Entonces abramosla.
4069,phrase,Hana,잠깐만요. 모두 준비됐어요?,Un momento. ¿Todos están listos?
4070,phrase,Joon,네. 문도 닫았고 창문도 확인했어요.,Sí. Cerré la puerta y también revisé la ventana.
4071,phrase,Aru,그럼 시작할게요.,Entonces empezaré.
4072,phrase,Saul,빛이... 지도 모양으로 변하고 있어요.,La luz... está cambiando a forma de mapa.
P236,word,,진짜요,¿de verdad?
P237,word,,준비되다,estar listo
P238,word,,확인하다,revisar / confirmar
P239,word,,모양,forma
4073,phrase,Hana,이 지도는 하늘 마을이 아니라 더 먼 곳을 가리켜요.,"Este mapa no señala la aldea Haneul, sino un lugar más lejano."
4074,phrase,Joon,그럼 우리는 내일 어떻게 해야 해요?,"Entonces, ¿qué debemos hacer mañana?"
4075,phrase,Aru,원래는 상자만 전하면 됐어요. 하지만 이제 상황이 달라졌어요.,Originalmente solo teníamos que entregar la caja. Pero ahora la situación cambió.
4076,phrase,Saul,저는 가고 싶어요. 무섭지만 알아야 해요.,"Yo quiero ir. Me da miedo, pero necesito saber."
4077,phrase,Hana,정말 괜찮겠어요?,¿De verdad estarás bien?
4078,phrase,Saul,네. 도망가지 않을 거예요. 이번에는 제가 선택할게요.,Sí. No huiré. Esta vez yo elegiré.
P240,word,,가리키다,señalar / indicar
P241,word,,원래,originalmente
P242,word,,전하다,entregar / transmitir
P243,word,,상황,situación
P244,word,,선택하다,elegir
4079,phrase,Aru,"사울 씨, 처음 만났을 때를 기억해요?","Saul, ¿recuerdas cuando nos conocimos por primera vez?"
4080,phrase,Saul,"네. 저는 아무것도 몰랐고, 말도 거의 못 했어요.",Sí. No sabía nada y casi no podía hablar.
4081,phrase,Hana,"지금은 물어보고, 대답하고, 선택할 수 있어요.","Ahora puedes preguntar, responder y elegir."
4082,phrase,Joon,도시 밖의 길은 더 어려울 거예요.,El camino fuera de la ciudad será más difícil.
4083,phrase,Saul,알아요. 하지만 혼자가 아니에요.,Lo sé. Pero no estoy solo.
4084,phrase,Aru,그럼 가요. 문이 열리고 있어요.,Entonces vamos. La puerta se está abriendo.
4085,phrase,Saul,네. 이제 진짜 시작이에요.,Sí. Ahora empieza de verdad.
P245,word,,아무것도,nada
P246,word,,어렵다,ser difícil
P247,word,,혼자,solo
P248,word,,진짜,de verdad
