id,lesson,type,speaker_or_blank,text,translation_or_blank,text_tts
L04_05,4,phrase,사울,제 오락거리는 여러분의 설명을 이해하려고 노력하는 거예요.,Mi entretenimiento será intentar entender sus explicaciones.,제 오락거리는 여러분의 설명을 이해하려고 노력하는 거예요.
L04_06,4,phrase,안내방송,"승객 여러분, 탑승 수속을 시작합니다. 탑승구로 이동해 주시기 바랍니다.","Pasajeros, comenzamos el embarque. Se ruega que se dirijan a la puerta.","승객 여러분, 탑승 수속을 시작합니다. 탑승구로 이동해 주시기 바랍니다."
L04_07,4,phrase,사울,비행기가 이륙했나 봐요.,Parece que el avión ya despegó.,비행기가 이륙했나 봐요.
L04_08,4,phrase,콩이,비행 중에는 섬 생활에 대한 영상을 보면서 편안하게 시간을 보내세요.,"Durante el vuelo, pase el tiempo cómodamente viendo un video sobre la vida en la isla.",비행 중에는 섬 생활에 대한 영상을 보면서 편안하게 시간을 보내세요.
L04_09,4,phrase,밤이,긴 여행길 고생 많으셨습니다. 이제 저희를 따라오세요.,Gracias por el esfuerzo durante el largo viaje. Ahora síganos.,긴 여행길 고생 많으셨습니다. 이제 저희를 따라오세요.
L04_10,4,phrase,사울,아직은 저장할 수 없나 봐…,Parece que todavía no se puede guardar…,아직은 저장할 수 없나 봐…
L05_01,5,phrase,관리자,이 텐트는 오늘부터 사울 씨의 집입니다.,"Desde hoy, esta tienda de campaña es la casa de Saúl.",이 텐트는 오늘부터 사울 씨의 집입니다.
L05_02,5,phrase,사울,집이라고 하기에는 바람이 너무 잘 들어와요.,"Para llamarla casa, entra demasiado viento.",집이라고 하기에는 바람이 너무 잘 들어와요.
L05_03,5,phrase,관리자,걱정하지 마세요. 대출금만 갚으면 진짜 집을 지을 수 있어요.,No se preocupe. Cuando pague el préstamo podrá construir una casa de verdad.,걱정하지 마세요. 대출금만 갚으면 진짜 집을 지을 수 있어요.
L05_04,5,phrase,사울,대출금이 얼마예요?,¿Cuánto es el préstamo?,대출금이 얼마예요?
L05_05,5,phrase,관리자,구만 팔천 벨입니다.,"Son 98,000 bayas.",구만 팔천 벨입니다.
L05_06,5,phrase,사울,텐트보다 숫자가 더 커 보여요.,El número parece más grande que la tienda.,텐트보다 숫자가 더 커 보여요.
L05_07,5,phrase,지도리,너굴 마일을 모으면 도움이 될 거예요.,Reunir Millas Nook será de ayuda.,너굴 마일을 모으면 도움이 될 거예요.
L05_08,5,phrase,사울,마일리지로 빚도 교환할 수 있어요?,¿También puedo canjear la deuda con las millas?,마일리지로 빚도 교환할 수 있어요?
L05_09,5,phrase,관리자,그 질문은 다음 상담을 통해 확인하겠습니다.,Comprobaremos esa pregunta mediante otra consulta.,그 질문은 다음 상담을 통해 확인하겠습니다.
L05_10,5,phrase,사울,대답이 아니라 도망이네요.,Eso no es una respuesta; es una huida.,대답이 아니라 도망이네요.
L06_01,6,phrase,지도리,도구를 만들려면 나뭇가지와 돌이 필요해요.,Para fabricar herramientas necesita ramas y piedras.,도구를 만들려면 나뭇가지와 돌이 필요해요.
L06_02,6,phrase,사울,필요한 재료를 모아야 해요.,Tengo que reunir los materiales necesarios.,필요한 재료를 모아야 해요.
L06_03,6,phrase,지도리,나무를 흔들면 나뭇가지가 떨어질 거예요.,Si sacude el árbol caerán ramas.,나무를 흔들면 나뭇가지가 떨어질 거예요.
L06_04,6,phrase,사울,벌집도 떨어질 수 있죠?,"También puede caer un panal, ¿verdad?",벌집도 떨어질 수 있죠?
L06_05,6,phrase,지도리,그건 설명서의 아주 작은 글자에 쓰여 있어요.,Eso está escrito en la letra muy pequeña del manual.,그건 설명서의 아주 작은 글자에 쓰여 있어요.
L06_06,6,phrase,사울,도끼를 만들었어요!,¡Fabriqué un hacha!,도끼를 만들었어요!
L06_07,6,phrase,사부,도구는 힘이 아니라 마음으로 사용해야 한다.,"Las herramientas deben usarse con el corazón, no con la fuerza.",도구는 힘이 아니라 마음으로 사용해야 한다.
L06_08,6,phrase,사울,그럼 이 바위를 쳐 볼게요.,Entonces probaré a golpear esta roca.,그럼 이 바위를 쳐 볼게요.
L06_09,6,phrase,도끼,딱.,Crac.,딱.
L06_10,6,phrase,사울,전설의 도끼가 십 초 만에 끝났어요.,El hacha legendaria terminó en diez segundos.,전설의 도끼가 십 초 만에 끝났어요.
L07_01,7,phrase,토순,잡초가 광장까지 왔어요!,¡La maleza llegó hasta la plaza!,잡초가 광장까지 왔어요!
L07_02,7,phrase,사울,잡초를 뽑고 꽃을 심어요.,Arrancaremos la maleza y plantaremos flores.,잡초를 뽑고 꽃을 심어요.
L07_03,7,phrase,토순,복숭아 나무도 심으면 섬이 더 예뻐질 거예요.,"Si plantamos durazneros, la isla se verá más bonita.",복숭아 나무도 심으면 섬이 더 예뻐질 거예요.
L07_04,7,phrase,사울,과일을 먼저 먹어도 돼요?,¿Puedo comer primero la fruta?,과일을 먼저 먹어도 돼요?
L07_05,7,phrase,토순,"하나는 먹고, 나머지는 심어 주세요.",Coma una y plante las demás.,"하나는 먹고, 나머지는 심어 주세요."
L07_06,7,phrase,사부,잡초도 살아 있는 상대다. 예의를 지켜라.,La maleza también es un rival vivo. Muéstrale respeto.,잡초도 살아 있는 상대다. 예의를 지켜라.
L07_07,7,phrase,사울,죄송하지만 뽑을게요.,"Lo siento, pero voy a arrancarte.",죄송하지만 뽑을게요.
L07_08,7,phrase,지도리,주머니가 가득 차면 소지품을 확인해보세요.,"Cuando los bolsillos estén llenos, revise sus pertenencias.",주머니가 가득 차면 소지품을 확인해보세요.
L07_09,7,phrase,사울,잡초가 제 소지품의 절반이에요.,La mitad de mis pertenencias es maleza.,잡초가 제 소지품의 절반이에요.
L07_10,7,phrase,토순,이제 길이 다시 보여요!,¡Ahora vuelve a verse el camino!,이제 길이 다시 보여요!
L08_01,8,phrase,파덕,낚싯대로 물고기를 잡아요. 아주 간단해요.,Se pescan peces con una caña. Es muy sencillo.,낚싯대로 물고기를 잡아요. 아주 간단해요.
L08_02,8,phrase,사울,어떻게 잡아요?,¿Cómo se atrapan?,어떻게 잡아요?
L08_03,8,phrase,파덕,물고기가 찌를 물 때까지 기다려요.,Espere hasta que el pez muerda el flotador.,물고기가 찌를 물 때까지 기다려요.
L08_04,8,phrase,사울,지금인가요?,¿Ahora?,지금인가요?
L08_05,8,phrase,파덕,아직이에요.,Todavía no.,아직이에요.
L08_06,8,phrase,사울,지금은요?,¿Y ahora?,지금은요?
L08_07,8,phrase,파덕,제가 먼저 강에 빠졌네요.,Parece que yo caí primero al río.,제가 먼저 강에 빠졌네요.
L08_08,8,phrase,사울,물고기를 잡았어요!,¡Atrapé un pez!,물고기를 잡았어요!
L08_09,8,phrase,파덕,좋아요. 박물관에 기부할 수도 있어요.,Bien. También puede donarlo al museo.,좋아요. 박물관에 기부할 수도 있어요.
L08_10,8,phrase,사울,선생님도 먼저 물에서 나오세요.,"Maestro, salga primero del agua.",선생님도 먼저 물에서 나오세요.
L09_01,9,phrase,사울,잠자리채로 곤충을 잡았어요.,Atrapé un insecto con la red.,잠자리채로 곤충을 잡았어요.
L09_02,9,phrase,관장,축하합니다. 그런데 상자는 닫아 주세요.,Felicidades. Pero cierre la caja.,축하합니다. 그런데 상자는 닫아 주세요.
L09_03,9,phrase,사울,곤충을 무서워하세요?,¿Le dan miedo los insectos?,곤충을 무서워하세요?
L09_04,9,phrase,관장,무서운 건 아니에요. 그냥 아주 멀리 있고 싶어요.,No es miedo. Solo quiero estar muy lejos.,무서운 건 아니에요. 그냥 아주 멀리 있고 싶어요.
L09_05,9,phrase,토순,새로운 곤충을 박물관에 기부할게요.,Donaré un insecto nuevo al museo.,새로운 곤충을 박물관에 기부할게요.
L09_06,9,phrase,관장,진심으로 감사합니다. 저는 다른 방에 있겠습니다.,Se lo agradezco sinceramente. Estaré en otra sala.,진심으로 감사합니다. 저는 다른 방에 있겠습니다.
L09_07,9,phrase,사울,조개와 물고기도 가져왔어요.,También traje conchas y peces.,조개와 물고기도 가져왔어요.
L09_08,9,phrase,관장,그건 훨씬 좋아요. 움직임이 적으니까요.,"Eso es mucho mejor, porque se mueven menos.",그건 훨씬 좋아요. 움직임이 적으니까요.
L09_09,9,phrase,지도리,목록에서 기부할 것을 선택해주세요.,Seleccione de la lista lo que desea donar.,목록에서 기부할 것을 선택해주세요.
L09_10,9,phrase,사울,박물관이 조금씩 채워지고 있어요.,El museo se está llenando poco a poco.,박물관이 조금씩 채워지고 있어요.
L10_01,10,phrase,사울,땅을 파다가 화석을 발견했어요.,Encontré un fósil mientras cavaba.,땅을 파다가 화석을 발견했어요.
L10_02,10,phrase,지도리,삽으로 조심해서 캐야 해요.,Tiene que extraerlo con cuidado usando la pala.,삽으로 조심해서 캐야 해요.
L10_03,10,phrase,관장,이 화석 안에 이상한 금속 조각이 있어요.,Dentro del fósil hay una pieza extraña de metal.,이 화석 안에 이상한 금속 조각이 있어요.
L10_04,10,phrase,사울,열쇠 같은 거예요?,¿Es algo parecido a una llave?,열쇠 같은 거예요?
L10_05,10,phrase,지도리,지도 조각인 것 같아요.,Parece un fragmento de mapa.,지도 조각인 것 같아요.
L10_06,10,phrase,사부,오래된 물건에는 오래된 약속이 있다.,Los objetos antiguos contienen promesas antiguas.,오래된 물건에는 오래된 약속이 있다.
L10_07,10,phrase,사울,저기 파란 사람이 보였어요.,Vi a una persona azul allí.,저기 파란 사람이 보였어요.
L10_08,10,phrase,토순,어디에요? 저는 아무것도 못 봤어요.,¿Dónde? Yo no vi nada.,어디에요? 저는 아무것도 못 봤어요.
L10_09,10,phrase,사울,잠깐 나타났다가 사라졌어요.,Apareció un momento y desapareció.,잠깐 나타났다가 사라졌어요.
L10_10,10,phrase,관장,기록을 찾아봐야 할 것 같아요.,Creo que tendremos que buscar registros.,기록을 찾아봐야 할 것 같아요.
L11_01,11,phrase,상인,어서 오세요. 무엇을 도와드릴까요?,Bienvenido. ¿En qué puedo ayudarle?,어서 오세요. 무엇을 도와드릴까요?
L11_02,11,phrase,사울,이 물건을 판매할게요.,Voy a vender este objeto.,이 물건을 판매할게요.
L11_03,11,phrase,상인,"구입하시겠어요, 판매하시겠어요?",¿Desea comprar o vender?,"구입하시겠어요, 판매하시겠어요?"
L11_04,11,phrase,사울,방금 판매한다고 했어요.,Acabo de decir que quiero vender.,방금 판매한다고 했어요.
L11_05,11,phrase,상인,확인을 위한 확인입니다.,Es una confirmación para confirmar.,확인을 위한 확인입니다.
L11_06,11,phrase,사울,이건 얼마인가요?,¿Cuánto cuesta esto?,이건 얼마인가요?
L11_07,11,phrase,상인,두 개 구입하면 가격이 두 배입니다.,"Si compra dos, el precio es el doble.",두 개 구입하면 가격이 두 배입니다.
L11_08,11,phrase,사울,그건 할인이 아니에요.,Eso no es un descuento.,그건 할인이 아니에요.
L11_09,11,phrase,상인,주문을 확인해주세요. 취소하시겠어요?,Confirme el pedido. ¿Desea cancelar?,주문을 확인해주세요. 취소하시겠어요?
L11_10,11,phrase,사울,네. 상점 전체를 취소하고 싶어요.,Sí. Quiero cancelar toda la tienda.,네. 상점 전체를 취소하고 싶어요.
L12_01,12,phrase,여행자,혹시 이 근처에 광장이 있나요?,¿Por casualidad hay una plaza cerca de aquí?,혹시 이 근처에 광장이 있나요?
L12_02,12,phrase,사울,바로 뒤에 있어요.,Está justo detrás.,바로 뒤에 있어요.
L12_03,12,phrase,여행자,길을 잃은 것 같아요.,Creo que me perdí.,길을 잃은 것 같아요.
L12_04,12,phrase,지도리,새로운 주민인가요?,¿Es un nuevo residente?,새로운 주민인가요?
L12_05,12,phrase,여행자,네. 섬 생활에 초대받았어요.,Sí. Me invitaron a vivir en la isla.,네. 섬 생활에 초대받았어요.
L12_06,12,phrase,사울,친구를 초대할 수 있어요. 같이 가요.,Se puede invitar a un amigo. Venga conmigo.,친구를 초대할 수 있어요. 같이 가요.
L12_07,12,phrase,여행자,집은 어디에 놓을까요?,¿Dónde colocaremos la casa?,집은 어디에 놓을까요?
L12_08,12,phrase,토순,마음에 드는 곳을 골라주세요.,Elija un lugar que le guste.,마음에 드는 곳을 골라주세요.
L12_09,12,phrase,여행자,이거 마음에 들어요.,Me gusta este.,이거 마음에 들어요.
L12_10,12,phrase,사울,이제 집에서 광장까지 삼 미터예요. 다시 길을 잃지 마세요.,Ahora hay tres metros de su casa a la plaza. No vuelva a perderse.,이제 집에서 광장까지 삼 미터예요. 다시 길을 잃지 마세요.
L13_01,13,phrase,토순,집을 꾸미고 싶어요?,¿Quiere decorar su casa?,집을 꾸미고 싶어요?
L13_02,13,phrase,사울,네. 가구를 배치하고 싶어요.,Sí. Quiero colocar muebles.,네. 가구를 배치하고 싶어요.
L13_03,13,phrase,지도리,이걸 어디에 둘까요?,¿Dónde ponemos esto?,이걸 어디에 둘까요?
L13_04,13,phrase,사울,여기에 놓아주세요.,"Por favor, póngalo aquí.",여기에 놓아주세요.
L13_05,13,phrase,토순,침대는 창문 옆이 좋아요.,La cama queda bien junto a la ventana.,침대는 창문 옆이 좋아요.
L13_06,13,phrase,사울,탁자는 문을 막고 있어요.,La mesa está bloqueando la puerta.,탁자는 문을 막고 있어요.
L13_07,13,phrase,지도리,옮기면 돼요.,Solo hay que moverla.,옮기면 돼요.
L13_08,13,phrase,사울,가구를 배치해요. 그런데 집이 점점 좁아 보여요.,"Coloco los muebles, pero la casa se ve cada vez más estrecha.",가구를 배치해요. 그런데 집이 점점 좁아 보여요.
L13_09,13,phrase,토순,필요 없는 물건은 보관할 수 있어요.,Puede guardar los objetos que no necesite.,필요 없는 물건은 보관할 수 있어요.
L13_10,13,phrase,사울,좋아요. 이제 바닥이 보여요.,Bien. Ahora se ve el suelo.,좋아요. 이제 바닥이 보여요.
L14_01,14,phrase,관리자,강을 건너려면 다리가 필요합니다.,Para cruzar el río necesitamos un puente.,강을 건너려면 다리가 필요합니다.
L14_02,14,phrase,사울,필요한 재료는 무엇이에요?,¿Cuáles son los materiales necesarios?,필요한 재료는 무엇이에요?
L14_03,14,phrase,지도리,"목재, 단단한 목재, 부드러운 목재, 돌, 점토와 철광석이에요.","Madera, madera dura, madera blanda, piedra, arcilla y mineral de hierro.","목재, 단단한 목재, 부드러운 목재, 돌, 점토와 철광석이에요."
L14_04,14,phrase,사부,다리는 마음의 균형으로 세우는 것이다.,Un puente se construye con equilibrio interior.,다리는 마음의 균형으로 세우는 것이다.
L14_05,14,phrase,지도리,아니요. 재료로 세워요.,No. Se construye con materiales.,아니요. 재료로 세워요.
L14_06,14,phrase,사울,바위를 쳐서 철광석을 모을게요.,Golpearé rocas para reunir mineral de hierro.,바위를 쳐서 철광석을 모을게요.
L14_07,14,phrase,토순,제가 꽃이 있는 곳을 표시할게요.,Marcaré dónde están las flores.,제가 꽃이 있는 곳을 표시할게요.
L14_08,14,phrase,파덕,저는 강에서 공사를 지켜볼게요.,Yo vigilaré la obra desde el río.,저는 강에서 공사를 지켜볼게요.
L14_09,14,phrase,사울,또 빠질 생각이죠?,"Piensa volver a caerse, ¿verdad?",또 빠질 생각이죠?
L14_10,14,phrase,관리자,드디어 다리가 완성됐습니다.,Por fin quedó terminado el puente.,드디어 다리가 완성됐습니다.
L15_01,15,phrase,지도리,새로운 DIY 레시피가 사라졌어요.,Desapareció una nueva receta DIY.,새로운 DIY 레시피가 사라졌어요.
L15_02,15,phrase,사울,레시피를 배웠어요. 그런데 지금은 목록에 없어요.,"Aprendí la receta, pero ahora no está en la lista.",레시피를 배웠어요. 그런데 지금은 목록에 없어요.
L15_03,15,phrase,토순,해변에서 이상한 조개를 봤어요.,Vi una concha extraña en la playa.,해변에서 이상한 조개를 봤어요.
L15_04,15,phrase,파덕,그 조개가 주문서를 먹었을 수도 있어요.,Puede que esa concha se haya comido el pedido.,그 조개가 주문서를 먹었을 수도 있어요.
L15_05,15,phrase,사울,조개는 종이를 먹지 않아요.,Las conchas no comen papel.,조개는 종이를 먹지 않아요.
L15_06,15,phrase,파덕,그래서 더 수상해요.,Por eso es más sospechoso.,그래서 더 수상해요.
L15_07,15,phrase,사울,여기에 글자가 쓰여 있어요.,Aquí hay letras escritas.,여기에 글자가 쓰여 있어요.
L15_08,15,phrase,지도리,“광장 아래를 확인하라”라고 되어 있어요.,Dice: “Comprueba debajo de la plaza”.,“광장 아래를 확인하라”라고 되어 있어요.
L15_09,15,phrase,토순,레시피가 아니라 지도였네요.,"No era una receta, sino un mapa.",레시피가 아니라 지도였네요.
L15_10,15,phrase,사울,사라진 레시피는 제 주머니 안에 있었어요.,La receta desaparecida estaba en mi bolsillo.,사라진 레시피는 제 주머니 안에 있었어요.
L16_01,16,phrase,사울,광장 아래에 문이 있어요.,Hay una puerta debajo de la plaza.,광장 아래에 문이 있어요.
L16_02,16,phrase,지도리,열쇠를 사용해 봐요.,Probemos a usar la llave.,열쇠를 사용해 봐요.
L16_03,16,phrase,토순,문을 열고 나서 바로 닫을 수 있어요?,¿Podemos cerrarla inmediatamente después de abrirla?,문을 열고 나서 바로 닫을 수 있어요?
L16_04,16,phrase,사부,위험하면 내가 먼저 들어가겠다.,"Si es peligroso, entraré primero.",위험하면 내가 먼저 들어가겠다.
L16_05,16,phrase,파덕,저는 밖에서 응원할게요.,Yo animaré desde afuera.,저는 밖에서 응원할게요.
L16_06,16,phrase,사울,문이 안 열려요.,La puerta no se abre.,문이 안 열려요.
L16_07,16,phrase,지도리,금속 조각을 반대로 넣어 보세요.,Pruebe a introducir la pieza de metal al revés.,금속 조각을 반대로 넣어 보세요.
L16_08,16,phrase,사울,열렸어요. 안에서 이상한 빛이 보여요.,Se abrió. Dentro se ve una luz extraña.,열렸어요. 안에서 이상한 빛이 보여요.
L16_09,16,phrase,토순,모두 준비됐어요?,¿Todos están listos?,모두 준비됐어요?
L16_10,16,phrase,사울,네. 저장할 수 있으면 더 좋겠지만요.,Sí. Aunque sería mejor si pudiéramos guardar.,네. 저장할 수 있으면 더 좋겠지만요.
L17_01,17,phrase,지도리,이 던전에서는 소지품을 자주 확인해야 해요.,En esta mazmorra hay que revisar con frecuencia las pertenencias.,이 던전에서는 소지품을 자주 확인해야 해요.
L17_02,17,phrase,사울,도구와 음식은 준비됐어요.,Las herramientas y la comida están listas.,도구와 음식은 준비됐어요.
L17_03,17,phrase,사부,앞에 있는 돌을 움직여라.,Mueve la piedra que está delante.,앞에 있는 돌을 움직여라.
L17_04,17,phrase,사울,밀어도 안 움직여요.,No se mueve aunque la empuje.,밀어도 안 움직여요.
L17_05,17,phrase,토순,옆에 버튼이 있어요.,Hay un botón al lado.,옆에 버튼이 있어요.
L17_06,17,phrase,파덕,제가 눌러 볼게요!,¡Yo intentaré pulsarlo!,제가 눌러 볼게요!
L17_07,17,phrase,지도리,그건 비상 취소 버튼이에요.,Ese es el botón de cancelación de emergencia.,그건 비상 취소 버튼이에요.
L17_08,17,phrase,파덕,그럼 왜 이렇게 반짝여요?,"Entonces, ¿por qué brilla tanto?",그럼 왜 이렇게 반짝여요?
L17_09,17,phrase,사울,목록에서 올바른 도구를 선택해주세요.,Seleccione la herramienta correcta de la lista.,목록에서 올바른 도구를 선택해주세요.
L17_10,17,phrase,지도리,계획대로예요. 거의요.,Todo va según el plan. Casi.,계획대로예요. 거의요.
L18_01,18,phrase,관장,이 기록에는 파란 영웅의 이야기가 쓰여 있어요.,En este registro está escrita la historia del héroe azul.,이 기록에는 파란 영웅의 이야기가 쓰여 있어요.
L18_02,18,phrase,사울,그 사람은 섬을 지켰어요?,¿Esa persona protegió la isla?,그 사람은 섬을 지켰어요?
L18_03,18,phrase,관장,네. 어둠을 문 뒤에 봉인했다고 합니다.,Sí. Se dice que selló la oscuridad detrás de una puerta.,네. 어둠을 문 뒤에 봉인했다고 합니다.
L18_04,18,phrase,토순,왜 어둠이 다시 나타났어요?,¿Por qué apareció de nuevo la oscuridad?,왜 어둠이 다시 나타났어요?
L18_05,18,phrase,관장,사람들의 미납 대출금이 힘을 줬다고 쓰여 있어요.,Está escrito que las deudas impagadas de la gente le dieron fuerza.,사람들의 미납 대출금이 힘을 줬다고 쓰여 있어요.
L18_06,18,phrase,사울,제 대출금도 포함돼요?,¿También incluye mi préstamo?,제 대출금도 포함돼요?
L18_07,18,phrase,관리자,개인 정보라서 말씀드릴 수 없습니다.,No puedo decírselo porque es información personal.,개인 정보라서 말씀드릴 수 없습니다.
L18_08,18,phrase,지도리,그건 “네”라는 뜻 같아요.,Eso parece significar que sí.,그건 “네”라는 뜻 같아요.
L18_09,18,phrase,사울,영웅은 어디에 있어요?,¿Dónde está el héroe?,영웅은 어디에 있어요?
L18_10,18,phrase,관장,기록의 마지막에는 “새로운 사람이 선택할 것이다”라고 쓰여 있어요.,Al final dice: “Una persona nueva elegirá”.,기록의 마지막에는 “새로운 사람이 선택할 것이다”라고 쓰여 있어요.
L19_01,19,phrase,어둠,이 섬의 모든 대출금은 이제 나의 힘이다.,Todas las deudas de esta isla son ahora mi poder.,이 섬의 모든 대출금은 이제 나의 힘이다.
L19_02,19,phrase,사울,저는 그런 계약에 동의하지 않았어요.,Yo no acepté ese contrato.,저는 그런 계약에 동의하지 않았어요.
