id,type,speaker_or_blank,text,translation_or_blank
3012,phrase,Aru,좋아요. 힘들면 바로 말해 주세요.,"Bien. Si te cansas, dilo enseguida."
P111,word,,넣다,meter / poner dentro
P112,word,,충분해요,es suficiente
P113,word,,필요하다,necesitar
P114,word,,들다,cargar
P115,word,,끝까지,hasta el final
3013,phrase,Saul,마을이 점점 작아 보여요.,La aldea se ve cada vez más pequeña.
3014,phrase,Hana,멀어지고 있어서 그래요. 조금 이상하죠?,"Es porque nos estamos alejando. Se siente un poco extraño, ¿no?"
3015,phrase,Saul,네. 어제까지는 그곳이 전부인 줄 알았어요.,Sí. Hasta ayer pensaba que ese lugar era todo.
3016,phrase,Aru,처음에는 누구나 그렇게 생각해요.,Al principio todos piensan así.
3017,phrase,Joon,하지만 길을 따라가면 새로운 곳이 계속 나와요.,"Pero si sigues el camino, aparecen lugares nuevos una y otra vez."
3018,phrase,Saul,그 말을 들으니까 조금 기대돼요.,Escuchar eso me emociona un poco.
P116,word,,점점,cada vez más
P117,word,,멀어지다,alejarse
P118,word,,전부,todo
P119,word,,따라가다,seguir
P120,word,,기대돼요,me emociona
3019,phrase,Aru,저기 강이 보여요. 저 강을 건너야 해요.,Se ve un río allí. Tenemos que cruzar ese río.
3020,phrase,Saul,강이 생각보다 커요. 어떻게 건너요?,El río es más grande de lo que pensaba. ¿Cómo cruzamos?
3021,phrase,Joon,조금 더 가면 다리가 있어요. 거기에서 건너면 돼요.,"Si vamos un poco más, hay un puente. Podemos cruzar por allí."
3022,phrase,Hana,비가 많이 오면 다리가 미끄러워져요.,"Si llueve mucho, el puente se vuelve resbaloso."
3023,phrase,Saul,그럼 오늘은 괜찮아요?,"Entonces, ¿hoy está bien?"
3024,phrase,Aru,네. 오늘은 날씨가 좋아서 문제없을 거예요.,"Sí. Como hoy hace buen clima, no habrá problema."
P121,word,,강,río
P122,word,,건너다,cruzar
P123,word,,다리,puente
P124,word,,비,lluvia
P125,word,,날씨,clima
P126,word,,문제없어요,no hay problema
3025,phrase,Viajero,잠깐만요. 혹시 하늘 마을로 가는 길을 아세요?,Un momento. ¿Saben el camino hacia la aldea Haneul?
3026,phrase,Aru,네. 저희도 그쪽으로 가고 있어요.,Sí. Nosotros también vamos hacia allá.
3027,phrase,Saul,같이 가도 돼요? 길을 잃으면 위험하잖아요.,"¿Puede venir con nosotros? Si se pierde, es peligroso."
3028,phrase,Viajero,정말요? 도와주시면 감사하겠습니다.,¿De verdad? Le agradecería si me ayudan.
3029,phrase,Joon,대신 천천히 걸어야 해요. 우리도 처음 가는 길이에요.,Pero tenemos que caminar despacio. Nosotros también vamos por primera vez.
3030,phrase,Viajero,괜찮습니다. 혼자보다 같이 가는 게 훨씬 좋아요.,Está bien. Ir juntos es mucho mejor que ir solo.
P127,word,,여행자,viajero
P128,word,,혹시,por casualidad / acaso
P129,word,,그쪽,ese lado
P130,word,,길을 잃다,perderse
P131,word,,훨씬,mucho más
3031,phrase,Hana,오늘은 여기에서 자는 게 좋을 것 같아요.,Creo que hoy sería bueno dormir aquí.
3032,phrase,Saul,여기는 뭐 하는 곳이에요?,¿Qué clase de lugar es este?
3033,phrase,Aru,여행자들이 쉬고 자는 곳이에요. 포장이라고 해요.,Es un lugar donde los viajeros descansan y duermen. Se llama posada.
3034,phrase,Dueña,어서 오세요. 방은 두 개 남아 있어요.,Bienvenidos. Quedan dos habitaciones.
3035,phrase,Joon,네 명이 같이 잘 수 있는 방이 있나요?,¿Hay una habitación donde podamos dormir los cuatro juntos?
3036,phrase,Dueña,큰 방 하나가 있어요. 조금 좁지만 따뜻해요.,"Hay una habitación grande. Es un poco estrecha, pero cálida."
P132,word,,자다,dormir
P133,word,,포장,posada
P134,word,,주인,dueño/a
P135,word,,남아 있어요,queda
P136,word,,좁아요,es estrecho
3037,phrase,Viajero,사울 씨는 어디에서 왔다고 했죠?,"Saul, ¿de dónde dijiste que venías?"
3038,phrase,Saul,아직 설명하기 어려워요. 아주 먼 곳에서 왔어요.,Todavía es difícil de explicar. Vengo de un lugar muy lejano.
3039,phrase,Hana,사울 씨 이야기는 조금 이상하지만 거짓말 같지는 않아요.,"La historia de Saul es un poco extraña, pero no parece mentira."
3040,phrase,Aru,저도 그렇게 생각해요. 처음에는 믿기 어려웠어요.,Yo también pienso eso. Al principio era difícil de creer.
3041,phrase,Saul,저도 아직 믿기 어려워요. 하지만 지금은 여기에서 살고 있어요.,Para mí también sigue siendo difícil de creer. Pero ahora vivo aquí.
3042,phrase,Viajero,세상에는 이상한 일이 생각보다 많아요.,En el mundo hay más cosas extrañas de lo que uno piensa.
P137,word,,이야기,historia
P138,word,,거짓말,mentira
P139,word,,믿다,creer
P140,word,,세상,mundo
3043,phrase,Aru,비가 오기 시작했어요. 빨리 나무 아래로 가요.,Empezó a llover. Vamos rápido debajo de los árboles.
3044,phrase,Saul,갑자기 너무 많이 와요. 길이 안 보여요.,De repente llueve demasiado. No se ve el camino.
3045,phrase,Joon,이럴 때는 움직이지 않는 게 좋아요.,"En momentos así, es mejor no moverse."
3046,phrase,Hana,조금 기다리면 약해질 거예요.,"Si esperamos un poco, se hará más débil."
3047,phrase,Saul,전에는 비가 그냥 불편하다고 생각했어요.,Antes pensaba que la lluvia solo era incómoda.
3048,phrase,Aru,여기에서는 비도 길을 바꿀 수 있어요.,"Aquí, incluso la lluvia puede cambiar el camino."
P141,word,,시작하다,empezar
P142,word,,갑자기,de repente
P143,word,,움직이다,moverse
P144,word,,기다리다,esperar
P145,word,,바꾸다,cambiar
3049,phrase,Joon,이 길이 맞는 것 같아요. 하지만 확실하지는 않아요.,Creo que este camino es correcto. Pero no estoy seguro.
3050,phrase,Hana,지도에는 강 옆으로 가라고 되어 있어요.,En el mapa dice que vayamos junto al río.
3051,phrase,Saul,그럼 지금 우리는 강에서 멀어지고 있어요.,Entonces ahora nos estamos alejando del río.
3052,phrase,Aru,맞아요. 다시 돌아가는 게 좋겠어요.,Correcto. Creo que sería mejor volver.
3053,phrase,Joon,죄송해요. 제가 길을 잘못 본 것 같아요.,Lo siento. Creo que vi mal el camino.
3054,phrase,Saul,괜찮아요. 저도 이제 지도를 조금 읽을 수 있어요.,Está bien. Yo también ya puedo leer un poco el mapa.
P146,word,,확실하다,estar seguro
P147,word,,지도,mapa
P148,word,,돌아가다,regresar
P149,word,,잘못,mal / por error
P150,word,,읽다,leer
3055,phrase,Hana,저기 보이는 곳이 돌마을이에요.,El lugar que se ve allí es la aldea de piedra.
3056,phrase,Saul,집들이 우리 마을보다 낮아요.,Las casas son más bajas que las de nuestra aldea.
3057,phrase,Aru,맞아요. 여기는 바람이 강해서 높은 집을 잘 안 지어요.,"Correcto. Aquí el viento es fuerte, así que no construyen casas altas."
3058,phrase,Joon,사람들도 조금 다르게 말할 거예요. 그래도 걱정하지 마세요.,La gente también hablará un poco diferente. Pero no se preocupe.
3059,phrase,Saul,다르게 말해도 천천히 들으면 이해할 수 있을 것 같아요.,"Aunque hablen diferente, creo que si escucho despacio podré entender."
3060,phrase,Hana,그 말이 정말 많이 자연스러워졌어요.,Esa frase se volvió mucho más natural.
P151,word,,돌,piedra
P152,word,,낮아요,es bajo
P153,word,,바람,viento
P154,word,,강해요,es fuerte
P155,word,,높아요,es alto
P156,word,,자연스러워요,es natural
3061,phrase,Comerciante,여행 중이면 말린 과일이 좋아요. 오래 가지고 다닐 수 있어요.,"Si están viajando, la fruta seca es buena. Se puede llevar durante mucho tiempo."
3062,phrase,Saul,말린 과일이요? 이건 얼마예요?,¿Fruta seca? ¿Cuánto cuesta esto?
3063,phrase,Comerciante,한 봉지에 오백 원이에요. 두 봉지 사면 조금 깎아 드릴게요.,"Una bolsa cuesta quinientos wones. Si compras dos, te haré un pequeño descuento."
3064,phrase,Joon,괜찮은 가격이에요. 여행할 때는 가벼운 음식이 중요해요.,"Es buen precio. Cuando viajas, la comida ligera es importante."
3065,phrase,Saul,그럼 두 봉지 주세요. 그리고 물도 더 필요해요.,Entonces deme dos bolsas. Y también necesitamos más agua.
3066,phrase,Comerciante,좋아요. 물은 저쪽에 있어요.,Bien. El agua está por allá.
P157,word,,말린 과일,fruta seca
P158,word,,봉지,bolsa
P159,word,,오백 원,quinientos wones
P160,word,,깎다,rebajar / descontar
P161,word,,가벼워요,es ligero
3067,phrase,Hana,이 집 벽에 이상한 글자가 있어요.,Hay letras extrañas en la pared de esta casa.
3068,phrase,Aru,잠깐만요. 이건 아주 오래된 글이에요.,Un momento. Esto es una escritura muy antigua.
3069,phrase,Saul,읽을 수 있어요?,¿Puedes leerla?
3070,phrase,Aru,조금요. 여기에는 ‘문이 열리는 날’이라고 쓰여 있어요.,Un poco. Aquí está escrito ‘el día en que se abre la puerta’.
3071,phrase,Joon,문이요? 어떤 문을 말하는 걸까요?,¿Puerta? ¿A qué puerta se referirá?
3072,phrase,Saul,저는 그 말을 들으니까 이상하게 불안해요.,Escuchar eso me hace sentir extrañamente inquieto.
P162,word,,글자,letra / caracter
P163,word,,오래된,antiguo
P164,word,,쓰여 있어요,está escrito
P165,word,,열리다,abrirse
P166,word,,불안해요,inquieto / ansioso
3073,phrase,Aru,조금만 더 올라가면 오늘의 마지막 길이에요.,"Si subimos solo un poco más, será el último tramo de hoy."
3074,phrase,Saul,다리가 아프지만 멈추고 싶지 않아요.,"Me duelen las piernas, pero no quiero detenerme."
3075,phrase,Hana,정말 많이 변했네요. 처음에는 밖에 나가는 것도 무서워했잖아요.,Has cambiado muchísimo. Al principio te daba miedo incluso salir.
3076,phrase,Saul,맞아요. 그런데 지금은 보고 싶은 게 너무 많아요.,Es verdad. Pero ahora hay demasiadas cosas que quiero ver.
3077,phrase,Joon,그럼 위에 올라가면 놀랄 거예요.,"Entonces, cuando subamos, te vas a sorprender."
3078,phrase,Saul,왜요? 위에 뭐가 있어요?,¿Por qué? ¿Qué hay arriba?
P167,word,,올라가다,subir
P168,word,,마지막,último
P169,word,,아파요,duele
P170,word,,변하다,cambiar
P171,word,,놀라다,sorprenderse
3079,phrase,Saul,저게... 도시예요?,Eso... ¿es una ciudad?
3080,phrase,Aru,네. 저곳이 서라시예요. 우리 목적지 근처에 있는 큰 도시예요.,Sí. Ese lugar es Seorasi. Es una gran ciudad cerca de nuestro destino.
3081,phrase,Hana,하늘 마을은 저 도시를 지나서 더 가야 해요.,"Para llegar a Haneul, tenemos que pasar esa ciudad y seguir más allá."
3082,phrase,Joon,"오늘은 여기에서 쉬고, 내일 아침에 내려가요.",Hoy descansaremos aquí y mañana por la mañana bajaremos.
3083,phrase,Saul,저는 마을이 세상의 전부라고 생각했어요.,Pensaba que la aldea era todo el mundo.
3084,phrase,Aru,이제 알았죠? 세상은 훨씬 더 넓어요.,"Ahora lo sabes, ¿verdad? El mundo es mucho más amplio."
3085,phrase,Saul,네. 그리고 그건... 이제 시작이라는 뜻이죠.,Sí. Y eso... significa que esto apenas comienza.
P172,word,,도시,ciudad
P173,word,,목적지,destino
P174,word,,근처,cerca
P175,word,,지나다,pasar por
P176,word,,내려가다,bajar
P177,word,,넓어요,es amplio
P178,word,,뜻,significado
P179,word,,시작,comienzo
