id,type,speaker_or_blank,text,translation_or_blank,text_tts,lesson,section,pause_after_ms,repeat_count,repeat_style,is_key_phrase,playback_speed_hint
PODB030013,podcast,Narrador,챙기다,preparar / llevar consigo,[calm narrator] 챙기다,29,scene,0,1,normal,false,normal
PODB030014,podcast,Profesor,"En la lección 29, escucha cómo se usan las frases dentro de la escena. Después repasaremos el sentido de las expresiones más importantes.",,"[teacherly] En la lección 29, escucha cómo se usan las frases dentro de la escena. Después repasaremos el sentido de las expresiones más importantes.",29,explanation,0,1,normal,false,normal
PODB030015,podcast,Profesor,"La frase importante es 오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.. Significa “Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.”. Suena natural dentro del contexto. Se usa para expresar esta idea de forma natural en la situación de la lección. Literalmente sería algo como: “palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, partícula, palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto”. Palabras y bloques importantes: 오늘 = palabra importante según el contexto; 은 es partícula; 중요한 = palabra importante según el contexto; 일을 = palabra importante según el contexto; 해야 = palabra importante según el contexto; 한다 = palabra importante según el contexto; 이 es partícula; 상자 = palabra importante según el contexto; 를 es partícula; 하늘 = palabra importante según el contexto; 마을까지 = palabra importante según el contexto; 가져가야 = palabra importante según el contexto; 해 = palabra importante según el contexto. Las partículas importantes aquí son 은, 이, 를. En coreano, las partículas muestran la función de cada palabra.",Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.,"[teacherly] La frase importante es 오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.. Significa “Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.”. Suena natural dentro del contexto. Se usa para expresar esta idea de forma natural en la situación de la lección. Literalmente sería algo como: “palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, partícula, palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto”. Palabras y bloques importantes: 오늘 = palabra importante según el contexto; 은 es partícula; 중요한 = palabra importante según el contexto; 일을 = palabra importante según el contexto; 해야 = palabra importante según el contexto; 한다 = palabra importante según el contexto; 이 es partícula; 상자 = palabra importante según el contexto; 를 es partícula; 하늘 = palabra importante según el contexto; 마을까지 = palabra importante según el contexto; 가져가야 = palabra importante según el contexto; 해 = palabra importante según el contexto. Las partículas importantes aquí son 은, 이, 를. En coreano, las partículas muestran la función de cada palabra.",29,explanation,500,1,normal,true,normal
PODB030016,podcast,Profesor,Primero vamos palabra por palabra.,,[teacherly] Primero vamos palabra por palabra.,29,breakdown,500,1,normal,false,normal
PODB030017,podcast,Abuela,오늘,palabra importante según el contexto,[slowly] 오늘,29,word_repeat,1500,1,slow,true,slow
PODB030018,podcast,Profesor,오늘 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 오늘 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030019,podcast,Abuela,은,partícula,[slowly] 은,29,word_repeat,1000,1,slow,true,slow
PODB030020,podcast,Profesor,은 es una partícula de tema. Marca de qué estamos hablando.,,[teacherly] 은 es una partícula de tema. Marca de qué estamos hablando.,29,explanation,700,1,normal,false,normal
PODB030021,podcast,Abuela,중요한,palabra importante según el contexto,[slowly] 중요한,29,word_repeat,1500,1,slow,true,slow
PODB030022,podcast,Profesor,중요한 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 중요한 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030023,podcast,Abuela,일을,palabra importante según el contexto,[slowly] 일을,29,word_repeat,1500,1,slow,true,slow
PODB030024,podcast,Profesor,일을 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 일을 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030025,podcast,Abuela,해야,palabra importante según el contexto,[slowly] 해야,29,word_repeat,1500,1,slow,true,slow
PODB030026,podcast,Profesor,해야 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 해야 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030027,podcast,Abuela,한다,palabra importante según el contexto,[slowly] 한다,29,word_repeat,1500,1,slow,true,slow
PODB030028,podcast,Profesor,한다 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 한다 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030029,podcast,Abuela,이,partícula,[slowly] 이,29,word_repeat,1000,1,slow,true,slow
PODB030030,podcast,Profesor,이 es una partícula de sujeto. Marca quién o qué realiza o tiene la idea principal.,,[teacherly] 이 es una partícula de sujeto. Marca quién o qué realiza o tiene la idea principal.,29,explanation,700,1,normal,false,normal
PODB030031,podcast,Abuela,상자,palabra importante según el contexto,[slowly] 상자,29,word_repeat,1500,1,slow,true,slow
PODB030032,podcast,Profesor,상자 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 상자 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030033,podcast,Abuela,를,partícula,[slowly] 를,29,word_repeat,1000,1,slow,true,slow
PODB030034,podcast,Profesor,를 es una partícula de objeto. Marca lo que recibe la acción.,,[teacherly] 를 es una partícula de objeto. Marca lo que recibe la acción.,29,explanation,700,1,normal,false,normal
PODB030035,podcast,Abuela,하늘,palabra importante según el contexto,[slowly] 하늘,29,word_repeat,1500,1,slow,true,slow
PODB030036,podcast,Profesor,하늘 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 하늘 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030037,podcast,Abuela,마을까지,palabra importante según el contexto,[slowly] 마을까지,29,word_repeat,1500,1,slow,true,slow
PODB030038,podcast,Profesor,마을까지 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 마을까지 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030039,podcast,Abuela,가져가야,palabra importante según el contexto,[slowly] 가져가야,29,word_repeat,1500,1,slow,true,slow
PODB030040,podcast,Profesor,가져가야 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 가져가야 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030041,podcast,Abuela,해,palabra importante según el contexto,[slowly] 해,29,word_repeat,1500,1,slow,true,slow
PODB030042,podcast,Profesor,해 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 해 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030043,podcast,Profesor,"Las partículas importantes aquí son 은, 이, 를. En coreano, las partículas muestran la función de cada palabra.",,"[teacherly] Las partículas importantes aquí son 은, 이, 를. En coreano, las partículas muestran la función de cada palabra.",29,grammar,800,1,normal,false,normal
PODB030044,podcast,Profesor,Ahora escucha la frase completa lentamente.,,[teacherly] Ahora escucha la frase completa lentamente.,29,phrase_repeat,500,1,normal,false,normal
PODB030045,podcast,Abuela,오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.,[slowly] 오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,29,phrase_repeat,2500,1,slow,true,slow
PODB030046,podcast,Abuela,오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.,[natural] 오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,29,phrase_repeat,1000,1,natural,true,normal
PODB030047,podcast,Profesor,"La frase importante es 하늘 마을이요? 다른 마을도 있어요?. Significa “¿Aldea Haneul? ¿También hay otras aldeas?”. Suena como pregunta natural. Se usa para decir que algo o alguien existe, está presente o está en cierto lugar. Literalmente sería algo como: “palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, también, hay, existe, está”. Palabras y bloques importantes: 하늘 = palabra importante según el contexto; 마을이요 = palabra importante según el contexto; 다른 = palabra importante según el contexto; 마을 = palabra importante según el contexto; 도 es partícula; 있어요 = hay, existe, está. Las partículas importantes aquí son 도. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",¿Aldea Haneul? ¿También hay otras aldeas?,"[teacherly] La frase importante es 하늘 마을이요? 다른 마을도 있어요?. Significa “¿Aldea Haneul? ¿También hay otras aldeas?”. Suena como pregunta natural. Se usa para decir que algo o alguien existe, está presente o está en cierto lugar. Literalmente sería algo como: “palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, también, hay, existe, está”. Palabras y bloques importantes: 하늘 = palabra importante según el contexto; 마을이요 = palabra importante según el contexto; 다른 = palabra importante según el contexto; 마을 = palabra importante según el contexto; 도 es partícula; 있어요 = hay, existe, está. Las partículas importantes aquí son 도. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",29,explanation,500,1,normal,true,normal
PODB030048,podcast,Profesor,Primero vamos palabra por palabra.,,[teacherly] Primero vamos palabra por palabra.,29,breakdown,500,1,normal,false,normal
PODB030049,podcast,Saul,하늘,palabra importante según el contexto,[slowly] 하늘,29,word_repeat,1500,1,slow,true,slow
PODB030050,podcast,Profesor,하늘 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 하늘 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030051,podcast,Saul,마을이요,palabra importante según el contexto,[slowly] 마을이요,29,word_repeat,1500,1,slow,true,slow
PODB030052,podcast,Profesor,마을이요 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 마을이요 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030053,podcast,Saul,다른,palabra importante según el contexto,[slowly] 다른,29,word_repeat,1500,1,slow,true,slow
PODB030054,podcast,Profesor,다른 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 다른 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030055,podcast,Saul,마을,palabra importante según el contexto,[slowly] 마을,29,word_repeat,1500,1,slow,true,slow
PODB030056,podcast,Profesor,마을 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 마을 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030057,podcast,Saul,도,también,[slowly] 도,29,word_repeat,1000,1,slow,true,slow
PODB030058,podcast,Profesor,"도 significa “también” o “incluso”, según el contexto.",,"[teacherly] 도 significa “también” o “incluso”, según el contexto.",29,explanation,700,1,normal,false,normal
PODB030059,podcast,Saul,있어요,"hay, existe, está",[slowly] 있어요,29,word_repeat,1500,1,slow,true,slow
PODB030060,podcast,Profesor,"있어요 significa “hay, existe, está”.",,"[teacherly] 있어요 significa “hay, existe, está”.",29,explanation,700,1,normal,false,normal
PODB030061,podcast,Profesor,"Las partículas importantes aquí son 도. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",,"[teacherly] Las partículas importantes aquí son 도. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",29,grammar,800,1,normal,false,normal
PODB030062,podcast,Profesor,Ahora escucha la frase completa lentamente.,,[teacherly] Ahora escucha la frase completa lentamente.,29,phrase_repeat,500,1,normal,false,normal
PODB030063,podcast,Saul,하늘 마을이요? 다른 마을도 있어요?,¿Aldea Haneul? ¿También hay otras aldeas?,[slowly] 하늘 마을이요? 다른 마을도 있어요?,29,phrase_repeat,2500,1,slow,true,slow
PODB030064,podcast,Saul,하늘 마을이요? 다른 마을도 있어요?,¿Aldea Haneul? ¿También hay otras aldeas?,[natural] 하늘 마을이요? 다른 마을도 있어요?,29,phrase_repeat,1000,1,natural,true,normal
PODB030065,podcast,Profesor,"La frase importante es 네. 이곳 밖에도 여러 마을이 있어요.. Significa “Sí. Fuera de aquí también hay varias aldeas.”. Suena natural dentro del contexto. Se usa para decir que algo o alguien existe, está presente o está en cierto lugar. Literalmente sería algo como: “palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, también, palabra importante según el contexto, palabra importante según el contexto, partícula, hay, existe, está”. Palabras y bloques importantes: 네 = palabra importante según el contexto; 이곳 = palabra importante según el contexto; 밖에 = palabra importante según el contexto; 도 es partícula; 여러 = palabra importante según el contexto; 마을 = palabra importante según el contexto; 이 es partícula; 있어요 = hay, existe, está. Las partículas importantes aquí son 도, 이. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",Sí. Fuera de aquí también hay varias aldeas.,"[teacherly] La frase importante es 네. 이곳 밖에도 여러 마을이 있어요.. Significa “Sí. Fuera de aquí también hay varias aldeas.”. Suena natural dentro del contexto. Se usa para decir que algo o alguien existe, está presente o está en cierto lugar. Literalmente sería algo como: “palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, también, palabra importante según el contexto, palabra importante según el contexto, partícula, hay, existe, está”. Palabras y bloques importantes: 네 = palabra importante según el contexto; 이곳 = palabra importante según el contexto; 밖에 = palabra importante según el contexto; 도 es partícula; 여러 = palabra importante según el contexto; 마을 = palabra importante según el contexto; 이 es partícula; 있어요 = hay, existe, está. Las partículas importantes aquí son 도, 이. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",29,explanation,500,1,normal,true,normal
PODB030066,podcast,Profesor,Primero vamos palabra por palabra.,,[teacherly] Primero vamos palabra por palabra.,29,breakdown,500,1,normal,false,normal
PODB030067,podcast,Aru,네,palabra importante según el contexto,[slowly] 네,29,word_repeat,1500,1,slow,true,slow
PODB030068,podcast,Profesor,네 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 네 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030069,podcast,Aru,이곳,palabra importante según el contexto,[slowly] 이곳,29,word_repeat,1500,1,slow,true,slow
PODB030070,podcast,Profesor,이곳 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 이곳 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030071,podcast,Aru,밖에,palabra importante según el contexto,[slowly] 밖에,29,word_repeat,1500,1,slow,true,slow
PODB030072,podcast,Profesor,밖에 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 밖에 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030073,podcast,Aru,도,también,[slowly] 도,29,word_repeat,1000,1,slow,true,slow
PODB030074,podcast,Profesor,"도 significa “también” o “incluso”, según el contexto.",,"[teacherly] 도 significa “también” o “incluso”, según el contexto.",29,explanation,700,1,normal,false,normal
PODB030075,podcast,Aru,여러,palabra importante según el contexto,[slowly] 여러,29,word_repeat,1500,1,slow,true,slow
PODB030076,podcast,Profesor,여러 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 여러 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030077,podcast,Aru,마을,palabra importante según el contexto,[slowly] 마을,29,word_repeat,1500,1,slow,true,slow
PODB030078,podcast,Profesor,마을 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 마을 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030079,podcast,Aru,이,partícula,[slowly] 이,29,word_repeat,1000,1,slow,true,slow
PODB030080,podcast,Profesor,이 es una partícula de sujeto. Marca quién o qué realiza o tiene la idea principal.,,[teacherly] 이 es una partícula de sujeto. Marca quién o qué realiza o tiene la idea principal.,29,explanation,700,1,normal,false,normal
PODB030081,podcast,Aru,있어요,"hay, existe, está",[slowly] 있어요,29,word_repeat,1500,1,slow,true,slow
PODB030082,podcast,Profesor,"있어요 significa “hay, existe, está”.",,"[teacherly] 있어요 significa “hay, existe, está”.",29,explanation,700,1,normal,false,normal
PODB030083,podcast,Profesor,"Las partículas importantes aquí son 도, 이. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",,"[teacherly] Las partículas importantes aquí son 도, 이. En coreano, las partículas muestran la función de cada palabra. 있어요 puede significar “hay”, “existe” o “está”, dependiendo del contexto.",29,grammar,800,1,normal,false,normal
PODB030084,podcast,Profesor,Ahora escucha la frase completa lentamente.,,[teacherly] Ahora escucha la frase completa lentamente.,29,phrase_repeat,500,1,normal,false,normal
PODB030085,podcast,Aru,네. 이곳 밖에도 여러 마을이 있어요.,Sí. Fuera de aquí también hay varias aldeas.,[slowly] 네. 이곳 밖에도 여러 마을이 있어요.,29,phrase_repeat,2500,1,slow,true,slow
PODB030086,podcast,Aru,네. 이곳 밖에도 여러 마을이 있어요.,Sí. Fuera de aquí también hay varias aldeas.,[natural] 네. 이곳 밖에도 여러 마을이 있어요.,29,phrase_repeat,1000,1,natural,true,normal
PODB030087,podcast,Profesor,"La frase importante es 길은 멀지만 너무 위험하지는 않아요.. Significa “El camino es largo, pero no es demasiado peligroso.”. Suena natural dentro del contexto. Se usa para expresar esta idea de forma natural en la situación de la lección. Literalmente sería algo como: “palabra importante según el contexto, palabra importante según el contexto, solo, palabra importante según el contexto, palabra importante según el contexto, partícula, palabra importante según el contexto”. Palabras y bloques importantes: 길은 = palabra importante según el contexto; 멀지 = palabra importante según el contexto; 만 es partícula; 너무 = palabra importante según el contexto; 위험하지 = palabra importante según el contexto; 는 es partícula; 않아요 = palabra importante según el contexto. Las partículas importantes aquí son 만, 는. En coreano, las partículas muestran la función de cada palabra.","El camino es largo, pero no es demasiado peligroso.","[teacherly] La frase importante es 길은 멀지만 너무 위험하지는 않아요.. Significa “El camino es largo, pero no es demasiado peligroso.”. Suena natural dentro del contexto. Se usa para expresar esta idea de forma natural en la situación de la lección. Literalmente sería algo como: “palabra importante según el contexto, palabra importante según el contexto, solo, palabra importante según el contexto, palabra importante según el contexto, partícula, palabra importante según el contexto”. Palabras y bloques importantes: 길은 = palabra importante según el contexto; 멀지 = palabra importante según el contexto; 만 es partícula; 너무 = palabra importante según el contexto; 위험하지 = palabra importante según el contexto; 는 es partícula; 않아요 = palabra importante según el contexto. Las partículas importantes aquí son 만, 는. En coreano, las partículas muestran la función de cada palabra.",29,explanation,500,1,normal,true,normal
PODB030088,podcast,Profesor,Primero vamos palabra por palabra.,,[teacherly] Primero vamos palabra por palabra.,29,breakdown,500,1,normal,false,normal
PODB030089,podcast,Joon,길은,palabra importante según el contexto,[slowly] 길은,29,word_repeat,1500,1,slow,true,slow
PODB030090,podcast,Profesor,길은 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 길은 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030091,podcast,Joon,멀지,palabra importante según el contexto,[slowly] 멀지,29,word_repeat,1500,1,slow,true,slow
PODB030092,podcast,Profesor,멀지 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 멀지 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030093,podcast,Joon,만,solo,[slowly] 만,29,word_repeat,1000,1,slow,true,slow
PODB030094,podcast,Profesor,만 significa “solo” o “solamente”.,,[teacherly] 만 significa “solo” o “solamente”.,29,explanation,700,1,normal,false,normal
PODB030095,podcast,Joon,너무,palabra importante según el contexto,[slowly] 너무,29,word_repeat,1500,1,slow,true,slow
PODB030096,podcast,Profesor,너무 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 너무 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030097,podcast,Joon,위험하지,palabra importante según el contexto,[slowly] 위험하지,29,word_repeat,1500,1,slow,true,slow
PODB030098,podcast,Profesor,위험하지 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 위험하지 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030099,podcast,Joon,는,partícula,[slowly] 는,29,word_repeat,1000,1,slow,true,slow
PODB030100,podcast,Profesor,는 es una partícula de tema. Marca de qué estamos hablando.,,[teacherly] 는 es una partícula de tema. Marca de qué estamos hablando.,29,explanation,700,1,normal,false,normal
PODB030101,podcast,Joon,않아요,palabra importante según el contexto,[slowly] 않아요,29,word_repeat,1500,1,slow,true,slow
PODB030102,podcast,Profesor,않아요 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 않아요 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030103,podcast,Profesor,"Las partículas importantes aquí son 만, 는. En coreano, las partículas muestran la función de cada palabra.",,"[teacherly] Las partículas importantes aquí son 만, 는. En coreano, las partículas muestran la función de cada palabra.",29,grammar,800,1,normal,false,normal
PODB030104,podcast,Profesor,Ahora escucha la frase completa lentamente.,,[teacherly] Ahora escucha la frase completa lentamente.,29,phrase_repeat,500,1,normal,false,normal
PODB030105,podcast,Joon,길은 멀지만 너무 위험하지는 않아요.,"El camino es largo, pero no es demasiado peligroso.",[slowly] 길은 멀지만 너무 위험하지는 않아요.,29,phrase_repeat,2500,1,slow,true,slow
PODB030106,podcast,Joon,길은 멀지만 너무 위험하지는 않아요.,"El camino es largo, pero no es demasiado peligroso.",[natural] 길은 멀지만 너무 위험하지는 않아요.,29,phrase_repeat,1000,1,natural,true,normal
PODB030107,podcast,Profesor,"La frase importante es 그래도 준비가 필요해요. 물하고 음식을 챙겨야 해요.. Significa “Aun así necesitamos prepararnos. Debemos llevar agua y comida.”. Suena natural dentro del contexto. Se usa para expresar esta idea de forma natural en la situación de la lección. Literalmente sería algo como: “palabra importante según el contexto, también, palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto”. Palabras y bloques importantes: 그래 = palabra importante según el contexto; 도 es partícula; 준비 = palabra importante según el contexto; 가 es partícula; 필요해요 = palabra importante según el contexto; 물하고 = palabra importante según el contexto; 음식 = palabra importante según el contexto; 을 es partícula; 챙겨야 = palabra importante según el contexto; 해요 = palabra importante según el contexto. Las partículas importantes aquí son 도, 가, 을. En coreano, las partículas muestran la función de cada palabra.",Aun así necesitamos prepararnos. Debemos llevar agua y comida.,"[teacherly] La frase importante es 그래도 준비가 필요해요. 물하고 음식을 챙겨야 해요.. Significa “Aun así necesitamos prepararnos. Debemos llevar agua y comida.”. Suena natural dentro del contexto. Se usa para expresar esta idea de forma natural en la situación de la lección. Literalmente sería algo como: “palabra importante según el contexto, también, palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto, palabra importante según el contexto, partícula, palabra importante según el contexto, palabra importante según el contexto”. Palabras y bloques importantes: 그래 = palabra importante según el contexto; 도 es partícula; 준비 = palabra importante según el contexto; 가 es partícula; 필요해요 = palabra importante según el contexto; 물하고 = palabra importante según el contexto; 음식 = palabra importante según el contexto; 을 es partícula; 챙겨야 = palabra importante según el contexto; 해요 = palabra importante según el contexto. Las partículas importantes aquí son 도, 가, 을. En coreano, las partículas muestran la función de cada palabra.",29,explanation,500,1,normal,true,normal
PODB030108,podcast,Profesor,Primero vamos palabra por palabra.,,[teacherly] Primero vamos palabra por palabra.,29,breakdown,500,1,normal,false,normal
PODB030109,podcast,Hana,그래,palabra importante según el contexto,[slowly] 그래,29,word_repeat,1500,1,slow,true,slow
PODB030110,podcast,Profesor,그래 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 그래 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030111,podcast,Hana,도,también,[slowly] 도,29,word_repeat,1000,1,slow,true,slow
PODB030112,podcast,Profesor,"도 significa “también” o “incluso”, según el contexto.",,"[teacherly] 도 significa “también” o “incluso”, según el contexto.",29,explanation,700,1,normal,false,normal
PODB030113,podcast,Hana,준비,palabra importante según el contexto,[slowly] 준비,29,word_repeat,1500,1,slow,true,slow
PODB030114,podcast,Profesor,준비 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,,[teacherly] 준비 es un bloque importante de la frase. Revisa su sentido dentro del contexto.,29,explanation,700,1,normal,false,normal
PODB030115,podcast,Hana,가,partícula,[slowly] 가,29,word_repeat,1000,1,slow,true,slow
PODB030116,podcast,Profesor,가 es una partícula de sujeto. Marca quién o qué realiza o tiene la idea principal.,,[teacherly] 가 es una partícula de sujeto. Marca quién o qué realiza o tiene la idea principal.,29,explanation,700,1,normal,false,normal
