id,type,speaker_or_blank,text,translation_or_blank,text_tts
J1038,phrase,Mina,何をしますか。,¿Qué hacemos?,[curious] 何をしますか。
J1039,phrase,Ren,本を読みます。名前を書きます。,Leemos los libros. Escribimos los nombres.,[instructive] 本を読みます。名前を書きます。
J1040,phrase,Mina,この箱に本を入れます。,Pongo los libros en esta caja.,[confirming] この箱に本を入れます。
J1041,phrase,Ren,はい、ここで待ってください。,"Sí. Espera aquí, por favor.",[polite] はい、ここで待ってください。
J1042,phrase,Poko,ポコも仕事をします。,Poko también trabaja.,[proud] ポコも仕事をします。
J1043,phrase,Mina,あそこに赤いドアがあります。,Allí hay una puerta roja.,[uneasy] あそこに赤いドアがあります。
J1044,phrase,Ren,そのドアを開けないでください。,"No abras esa puerta, por favor.",[serious] そのドアを開けないでください。
J1045,phrase,Mina,どうしてですか。,¿Por qué?,[curious] どうしてですか。
J1046,phrase,Ren,危ないですから。,Porque es peligroso.,[firm] 危ないですから。
J1047,phrase,Poko,赤いドアはだめです。,La puerta roja está prohibida.,[warning] 赤いドアはだめです。
J1048,phrase,Mina,わかりました。,Entendido.,[obedient] わかりました。
J1049,phrase,Mina,ドアが開いています。,La puerta está abierta.,[alarmed] ドアが開いています。
J1050,phrase,Ren,だれが開けましたか。,¿Quién la abrió?,[concerned] だれが開けましたか。
J1051,phrase,Poko,ポコではありません。,No fui Poko.,[defensive] ポコではありません。
J1052,phrase,Mina,中に道があります。,Dentro hay un camino.,[astonished] 中に道があります。
J1053,phrase,Ren,今は入りません。,Ahora no entraremos.,[firm] 今は入りません。
J1054,phrase,Shiro,にゃあ。,Miau.,[calling] にゃあ。
J1055,phrase,Mina,シロが道に入りました。,Shiro entró en el camino.,[worried] シロが道に入りました。
J1056,phrase,Ren,一緒に行きましょう。,Vayamos juntos.,[decisive] 一緒に行きましょう。
J1057,phrase,Mina,ここは町ですか。,¿Esto es una ciudad?,[amazed] ここは町ですか。
J1058,phrase,Ren,はい、本の町です。,"Sí, es la ciudad de los libros.",[calm] はい、本の町です。
J1059,phrase,Poko,店がたくさんあります。,Hay muchas tiendas.,[excited] 店がたくさんあります。
J1060,phrase,Mina,水を買いたいです。,Quiero comprar agua.,[tired] 水を買いたいです。
J1061,phrase,Mina,水はいくらですか。,¿Cuánto cuesta el agua?,[polite] 水はいくらですか。
J1062,phrase,Director,百円です。,Son cien yenes.,[neutral] 百円です。
J1063,phrase,Mina,お金がありません。,No tengo dinero.,[embarrassed] お金がありません。
J1064,phrase,Director,図書館のカードはありますか。,¿Tienes la tarjeta de la biblioteca?,[calm] 図書館のカードはありますか。
J1065,phrase,Mina,はい、あります。,"Sí, la tengo.",[relieved] はい、あります。
J1066,phrase,Director,では、この水は無料です。,"Entonces, esta agua es gratis.",[kindly] では、この水は無料です。
J1067,phrase,Mina,図書館に帰りたいです。,Quiero volver a la biblioteca.,[worried] 図書館に帰りたいです。
J1068,phrase,Ren,道が分かりません。,No conocemos el camino.,[concerned] 道が分かりません。
J1069,phrase,Poko,シロを探しましょう。,Busquemos a Shiro.,[determined] シロを探しましょう。
J1070,phrase,Mina,シロはどこにいますか。,¿Dónde está Shiro?,[calling] シロはどこにいますか。
J1071,phrase,Director,白い塔の前にいます。,Está frente a la torre blanca.,[mysterious] 白い塔の前にいます。
J1072,phrase,Ren,急いで行きましょう。,Vamos rápido.,[urgent] 急いで行きましょう。
J1073,phrase,Mina,昨日、この本はありませんでした。,"Ayer, este libro no estaba.",[puzzled] 昨日、この本はありませんでした。
J1074,phrase,Ren,今はここにあります。,Ahora está aquí.,[thoughtful] 今はここにあります。
J1075,phrase,Mina,私の名前が書いてあります。,Mi nombre está escrito.,[shocked] 私の名前が書いてあります。
J1076,phrase,Poko,レンの名前もあります。,También está el nombre de Ren.,[surprised] レンの名前もあります。
J1077,phrase,Ren,これは未来の本ですか。,¿Este es un libro del futuro?,[uneasy] これは未来の本ですか。
J1078,phrase,Director,次のページを読んでください。,"Lee la siguiente página, por favor.",[mysterious] 次のページを読んでください。
J1079,phrase,Mina,図書館に戻りました。,Volvimos a la biblioteca.,[relieved] 図書館に戻りました。
J1080,phrase,Ren,もう朝です。,Ya es de mañana.,[tired] もう朝です。
J1081,phrase,Mina,今日は家に帰ります。,Hoy volveré a casa.,[calm] 今日は家に帰ります。
J1082,phrase,Poko,また明日来ますか。,¿Vendrás otra vez mañana?,[hopeful] また明日来ますか。
J1083,phrase,Mina,はい、また来ます。,"Sí, volveré.",[warm] はい、また来ます。
J1084,phrase,Director,新しいページが始まります。,Comienza una página nueva.,[mysterious] 新しいページが始まります。
JP001,word,,こんばんは,buenas noches,こんばんは
JP002,word,,図書館,biblioteca,図書館
JP003,word,,私,yo,私
JP004,word,,名前,nombre,名前
JP005,word,,お願いします,por favor / se lo encargo,お願いします
JP006,word,,本,libro,本
JP007,word,,鍵,llave,鍵
JP008,word,,時計,reloj,時計
JP009,word,,カード,tarjeta,カード
JP010,word,,何,qué,何
JP011,word,,箱,caja,箱
JP012,word,,動く,moverse,動く
JP013,word,,人,persona,人
JP014,word,,小さい,pequeño,小さい
JP015,word,,生き物,criatura / ser vivo,生き物
JP016,word,,赤い,rojo,赤い
JP017,word,,机,escritorio,机
JP018,word,,上,encima,上
JP019,word,,中,dentro,中
JP020,word,,見る,ver / mirar,見る
JP021,word,,窓,ventana,窓
JP022,word,,近く,cerca,近く
JP023,word,,猫,gato,猫
JP024,word,,白い,blanco,白い
JP025,word,,かわいい,lindo,かわいい
JP026,word,,一冊,un libro,一冊
JP027,word,,二冊,dos libros,二冊
JP028,word,,三冊,tres libros,三冊
JP029,word,,青い,azul,青い
JP030,word,,置く,poner,置く
JP031,word,,仕事,trabajo,仕事
JP032,word,,読む,leer,読む
JP033,word,,書く,escribir,書く
JP034,word,,入れる,meter,入れる
JP035,word,,待つ,esperar,待つ
JP036,word,,ドア,puerta,ドア
JP037,word,,開ける,abrir,開ける
JP038,word,,危ない,peligroso,危ない
JP039,word,,理由,razón,理由
JP040,word,,分かる,entender,分かる
JP041,word,,開く,abrirse,開く
JP042,word,,誰,quién,誰
JP043,word,,道,camino,道
JP044,word,,入る,entrar,入る
JP045,word,,今,ahora,今
JP046,word,,町,ciudad / pueblo,町
JP047,word,,一緒に,juntos,一緒に
JP048,word,,店,tienda,店
JP049,word,,たくさん,muchos,たくさん
JP050,word,,買う,comprar,買う
JP051,word,,いくら,cuánto,いくら
JP052,word,,百円,cien yenes,百円
JP053,word,,お金,dinero,お金
JP054,word,,無料,gratis,無料
JP055,word,,持つ,tener / llevar,持つ
JP056,word,,帰る,volver,帰る
JP057,word,,探す,buscar,探す
JP058,word,,塔,torre,塔
JP059,word,,前,delante,前
JP060,word,,急ぐ,apresurarse,急ぐ
JP061,word,,昨日,ayer,昨日
JP062,word,,未来,futuro,未来
JP063,word,,ページ,página,ページ
JP064,word,,次,siguiente,次
JP065,word,,書いてある,estar escrito,書いてある
JP066,word,,戻る,regresar,戻る
JP067,word,,朝,mañana,朝
JP068,word,,家,casa,家
JP069,word,,明日,mañana,明日
JP070,word,,始まる,comenzar,始まる
